File Name,image00002
Mean,0.28153
184920,35905,2976,178648,170248,173888,190968,206087,96440,1687,179881,192424,187606,16359,182118,22242,22270,180945,67655,171310,197519,20223,33943,91904,62953,55507,80537,180442,180470,118391,172320,164648,206591,102431,88098,88126,170079,150370,150398,201607,92128,192985,163135,143650,143678,120687,116600,192087,22128,196343,190409,168233,62447,183632,168232,86975,85016,105455,134743,175120,58863,45259,16641,163471,4377,113351,143706,143734,10592,181839,15297,40665,58752,41559,65248,81265,116938,116966,141858,141886,140287,132558,211855,210288,65416,200320,189791,185368,17312,45258,45286,58189,175568,2586,2614,177696,58025,146897,22405,95096,5215,207991,67936,84958,208439,99743,97671,154513,167727,147680,21959,175567,126679,154514,154542,116937,148015,169967,78408,102602,102630,206367,19718,97168,184921,137319,64965,42958,141127,204967,161623,205527,8631,207319,187157,42512,133063,198864,168904,102095,10423,31425,52367,88209,58753,33944,167503,78407,179150,69281,197184,170919,145326,124608,4095,83505,19608,16471,192144,182175,41392,184080,54047,198865,55782,90001,100806,104280,901,40438,17760,179544,148349,130376,209615,7456,175624,207484,3648,143705,16358,182233,83727,170134,92129,123489,63286,196903,174839,64181,5775,7735,27843,97169,135583,196456,180160,155968,73929,170135,91903,192145,182174,182286,204351,110106,110134,208438,12719,43519,143422,31480,178761,193318,2977,62952,204183,148350,107022,192313,31759,60262,77794,77822,7736,24368,65417,12832,31871,22243,58304,134913,62674,62702,126232,110553,145327,4041,205528,106912,1856,210567,157872,192425,88208,117497,30473,569,88099,35119,132841,125952,47776,87591,48786,48814
0.16509,0.1679546,0.1720868,0.2019473,0.2054152,0.2087068,0.209642,0.210778,0.2137536,0.2174686,0.2199439,0.2238089,0.2266372,0.2309275,0.2340367,0.2340407,0.2340407,0.2344368,0.2354445,0.2357564,0.2373535,0.2375236,0.2390682,0.2391637,0.2402034,0.2402916,0.2434305,0.243857,0.243857,0.2445793,0.2466981,0.2471217,0.2494197,0.2495869,0.2507436,0.2507436,0.2509233,0.253666,0.253666,0.2542021,0.2547623,0.2552048,0.2554029,0.2556963,0.2556963,0.2557986,0.2582575,0.2591226,0.2591923,0.2594779,0.2598733,0.2603184,0.2607969,0.2608162,0.2615098,0.2617433,0.2630779,0.2648351,0.2651936,0.2665339,0.2666027,0.2667042,0.2668943,0.2673883,0.267635,0.26766,0.2679353,0.2679353,0.2686943,0.2689507,0.2691058,0.2691125,0.2704097,0.2707428,0.2716375,0.2722287,0.2727249,0.2727249,0.2729393,0.2729393,0.274037,0.2746563,0.2755652,0.2757055,0.2760263,0.2760288,0.2764984,0.2767359,0.2770483,0.2775171,0.2775171,0.2775668,0.2776183,0.2776991,0.2776991,0.2785862,0.2785998,0.2786034,0.2790395,0.2792788,0.2795789,0.2797925,0.2807847,0.2813948,0.2821831,0.2823089,0.2825154,0.2825186,0.282637,0.2830378,0.2834895,0.2835029,0.2836011,0.2836338,0.2836338,0.2836991,0.2844901,0.284619,0.2846882,0.2847972,0.2847972,0.2851752,0.285389,0.2863813,0.286833,0.2868728,0.2869853,0.2872184,0.2877707,0.2878787,0.2879617,0.2880691,0.2893605,0.2894467,0.2897142,0.290059,0.2901157,0.290473,0.2908623,0.2909722,0.2910127,0.291255,0.2913333,0.291411,0.291753,0.2919407,0.2921228,0.2922867,0.2925596,0.2925686,0.2926888,0.2928329,0.2929198,0.293025,0.2933027,0.2933697,0.293619,0.2938207,0.294361,0.2944553,0.2945428,0.2949127,0.2952495,0.295901,0.2959993,0.2961986,0.2963872,0.2964936,0.2968552,0.2971679,0.2976912,0.297844,0.2980246,0.2981075,0.2984368,0.2985843,0.3006979,0.3007426,0.3008519,0.300856,0.3008731,0.3017961,0.3029574,0.3029653,0.3030173,0.3033853,0.3036222,0.3042199,0.3042937,0.3043046,0.3043175,0.3048597,0.3049634,0.3051062,0.3052039,0.3053136,0.3058359,0.305995,0.3059972,0.3060724,0.3064168,0.3066347,0.306785,0.3071704,0.30749,0.3075882,0.3075882,0.3077367,0.3078116,0.308238,0.3084917,0.3085765,0.308806,0.30885,0.3093232,0.3097112,0.3098236,0.3099893,0.310011,0.3100192,0.3108048,0.3108675,0.310903,0.310903,0.3112954,0.3113449,0.3116311,0.3117357,0.3118035,0.3118353,0.3118828,0.3119357,0.3123944,0.3123944,0.3126264,0.312701,0.312929,0.3129924,0.3131092,0.3132325,0.3135549,0.313721,0.3137507,0.3139879,0.3141036,0.3141877,0.3142918,0.3143933,0.3147954,0.314832,0.314999,0.3151198,0.3151303,0.3152116,0.3152267,0.3152267

File Name,image00004
Mean,0.63742
3797,141221,125093,125092,28436,75308,207805,82868,79900,79901,203549,141220,28437,82869,82533,206741,10349,213,205117,22389,3741,98829,78949,22388,172525,75364,146709,2901,3796,75309,71277,58005,203437,717,56436,14997,185237,12364,161717,6485,94069,21436,65004,61980,164909,95077,21437,75365,12365,128789,16901,207804,56437,6484,93789,143517,203548,78220,43725,2005,166869,198957,78221,1333,21548,3798,58004,37116,21549,885,103980,15837,50053,55092,74188,43724,143460,203436,2900,60413,30957,175101,82980,185909,146261,716,71445,6317,212,65005,102525,82532,10348,61981,79509,4861,41653,74189,10350,78052,62373,146708,95076,71278,127052,63493,71108,15892,72452,97317,159365,185910,143461,37117,17125,205118,201421,82981,73348,142004,132764,172526,18972,197893,204332,206742,82870,46077,142005,3740,84996,175102,93788,38237,12253,207806,141222,178012,161716,16900,19813,179973,70437,4860,159366,212285,79508,66852,103869,71333,166813,64893,4917,178013,197892,208365,197669,214,93341,1332,98830,99557,17124,206740,148388,185238,15836,213237,52908,138421,164910,62372,129965,64892,35493,133548,199741,46076,2004,73293,35492,149453,133997,19812,24853,114509,60414,128790,98828,38236,10351,117588,7829,78053,187196,66853,78950,164908,63492,185236,78948,205116,194813,166868,94068,197668,93230,28435,203550,132765,97708,161718,50052,198844,71109,18973,101013,93229,71501,30172,179972,201420,198845,59124,146260,14998,6316,7885,78613,3799,203605,65006,172524,143516,829,183781,129964,3742,203438,20038,187813,82534,140213,57389,143518,20037,133492,64669,34933,145364,142006,71444,83149,28829,198956,24069
0.5674822,0.5698049,0.569947,0.57017,0.5711695,0.5832494,0.5858088,0.5895029,0.5906084,0.593558,0.5954727,0.5960703,0.5967207,0.5969875,0.5977213,0.5982214,0.5984852,0.5994706,0.6006044,0.6014995,0.6032336,0.6033032,0.6047243,0.6049666,0.6058576,0.6064166,0.6066012,0.6066805,0.606995,0.6078575,0.6081613,0.6083157,0.6087809,0.6088577,0.6105975,0.6109226,0.6109999,0.6119257,0.6120094,0.6128951,0.6144482,0.6149282,0.6149994,0.6156707,0.6162876,0.6163372,0.616589,0.6176065,0.6176124,0.617983,0.6182545,0.6186635,0.6194401,0.6199585,0.6200371,0.6202574,0.6205661,0.6210167,0.6212783,0.6213561,0.6224945,0.6226214,0.6229489,0.6239367,0.6240964,0.6243274,0.6251535,0.6254293,0.6260396,0.6264374,0.6265742,0.627562,0.6276319,0.6277272,0.6277544,0.6279944,0.6280327,0.6291038,0.6294198,0.6296066,0.6298097,0.6304173,0.630619,0.6307321,0.6311347,0.6311471,0.6311883,0.6311923,0.6316159,0.6316411,0.6319956,0.6334568,0.6338917,0.6339104,0.6345294,0.6349284,0.6354308,0.6357285,0.6361257,0.6362831,0.6365577,0.6373724,0.6378427,0.637996,0.638355,0.638364,0.6388255,0.638863,0.638993,0.6391355,0.6398113,0.6400014,0.6400112,0.6401194,0.6408937,0.6409119,0.6409205,0.6416195,0.64198,0.6419902,0.6420027,0.6420261,0.6422153,0.6428241,0.6428903,0.6430479,0.6436761,0.6437056,0.6439143,0.643973,0.6444242,0.6444271,0.6447646,0.6448895,0.6449732,0.6450075,0.6450574,0.6453131,0.6454916,0.6456067,0.6456288,0.6456538,0.6459767,0.6462964,0.6466578,0.6466674,0.6466743,0.6467139,0.6467193,0.646879,0.6469635,0.6472335,0.6473312,0.6474318,0.6475262,0.647598,0.6476652,0.6478493,0.6478866,0.647926,0.6479952,0.648142,0.6482621,0.6483232,0.6484049,0.6491613,0.6492919,0.6493332,0.649636,0.6498192,0.6499825,0.650233,0.6508721,0.6509153,0.6509833,0.6512725,0.6513596,0.6516314,0.6517692,0.6520528,0.6522489,0.652547,0.6526222,0.6528437,0.6529123,0.6530132,0.6533694,0.6536292,0.6539779,0.6540053,0.6550415,0.6551171,0.6551619,0.6551986,0.6556971,0.6558544,0.6560084,0.6560286,0.6560311,0.6560357,0.6560731,0.6564649,0.6565737,0.6566624,0.6566877,0.6568352,0.6568954,0.6572726,0.6574564,0.6576592,0.657768,0.6581316,0.6581548,0.6583706,0.6585049,0.6588224,0.6589081,0.6590089,0.6591076,0.6594143,0.6597091,0.6598603,0.6604253,0.6604666,0.6605349,0.6605509,0.6606832,0.6607625,0.6614411,0.6616545,0.66187,0.6619526,0.6619975,0.6620894,0.6621941,0.6624241,0.6624779,0.662537,0.662832,0.6629576,0.663092,0.6633684,0.6634122,0.663417,0.6635148,0.6635475,0.6635842,0.663708,0.6638383,0.6639014,0.6640252,0.6640888,0.6641111,0.6643458,0.664543,0.6648682

File Name,image00006
Mean,0.53317
26140,26141,65957,168548,16956,96028,123076,55428,182604,116580,116581,35436,6540,185292,204724,193580,10572,114732,65956,190220,104484,201308,174764,8556,184284,178908,123077,10685,15668,152420,146877,204725,149676,79844,185293,96029,2172,63828,72508,14604,151356,16957,24461,94853,133212,89981,14605,8557,137412,162781,6539,146876,193581,89084,24460,5196,150909,10684,104485,162780,148444,7324,188149,63829,94852,110196,38796,21269,191676,109300,120389,38797,14212,89980,98212,197164,174765,204444,49604,182605,182828,139036,154773,214692,121564,13428,31236,19532,138252,158468,84380,120388,2173,209709,131420,133941,168547,137413,182884,154772,109301,155892,10573,158805,134108,138700,154213,133940,167148,188148,134724,178909,213404,213964,167596,97148,191677,380,121117,184285,49605,204445,174037,15501,94348,72509,149677,114733,168549,21268,207692,5420,79733,40364,127780,152421,188485,112941,103084,46805,174036,79732,138253,121116,183500,17684,190221,177228,213965,89532,202933,108628,5197,35435,177060,202932,188540,18692,26644,121004,209708,167652,212788,183501,166308,176389,150908,210828,46917,51844,104540,177116,53077,213349,214189,213348,55429,26253,188709,138868,14213,114005,176501,164797,57444,193469,88636,138701,199964,101796,116020,65958,36668,118876,112940,15669,173421,7323,79228,24572,162893,186020,131980,211332,186637,98213,121005,159029,84548,110197,208756,139708,197165,167149,131981,20653,167597,108236,138589,34820,106052,27372,214188,165468,182885,214637,31965,59684,22108,2284,188484,148443,40365,213405,81524,212229,134725,69093,173420,166589,44564,20652,194700,28101,213461,123916,79843,201309,189884,158300,114844,81804,103085,25133,193413,99668
